nombre,tipo,region,lat,lon,superficie_ha,tiene_camping,servicios,descripcion,url_conaf,slug_conaf,horario,slug_pases,url_pases,tiene_pase_digital
Alerce Andino,Parque Nacional,Región de los Lagos Abierto,-41.5730373,-72.5143638,39255,False,senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-alerce-andino/,parque-nacional-alerce-andino,abierto de Lunes a Domingo de 09:00 a 17:00,alerce-andino,https://www.pasesparques.cl/es/parks/alerce-andino,True
Alerce Costero,Parque Nacional,Los Ríos,-40.0379055,-73.3692312,,False,baños|estacionamiento|senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-alerce-costero/,parque-nacional-alerce-costero,abierto de Martes a Domingo de 09:00 a 16:30,alerce-costero,https://www.pasesparques.cl/es/parks/alerce-costero,True
Alerce Milenario,Parque Nacional,,,,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-alerce-milenario/,parque-nacional-alerce-milenario,,,,False
Alto Bio Bio,Parque Nacional,,,,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-alto-bio-bio/,parque-nacional-alto-bio-bio,,,,False
Archipiélago Juan Fernández,Parque Nacional,,-33.7691971,-80.7907713,,True,senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-archipielago-juan-fernandez/,parque-nacional-archipielago-juan-fernandez,abierto de Lunes a Domingo de 09:00 a 17:00,archipielago-juan-fernandez,https://www.pasesparques.cl/es/parks/archipielago-juan-fernandez,True
Bernardo O'Higgins,Parque Nacional,Magallanes,-49.7505552,-74.501612,,False,senderos,"Horarios de Atención Temporada Vigencia Horario Último Ingreso Estival 01 sept. al 30 abr. 08:00 a 18:00 hrs 17:30 hrs Invernal 01 may. al 31 ago. 09:30 a 17:30 hrs 17:00 hrs * Horarios sujetos a condiciones climáticas y disposiciones de la administración del parque. Ubicado en la Región de Magallanes y accesible principalmente por mar desde Puerto Natales, este destino ofrece una experiencia a través de la clásica excursión a los glaciares Balmaceda y Serrano, que se realiza en navegación de día completo por el Fiordo de Última Esperanza, con avistamiento de colonias de lobos marinos, cormora",https://www.conaf.cl/parque_nacionales/parque-nacional-bernardo-ohiggins/,parque-nacional-bernardo-ohiggins,abierto de Lunes a Domingo de 08:00 a 18:00,bernardo-o-higgins,https://www.pasesparques.cl/es/parks/bernardo-o-higgins,True
Bosque Fray Jorge,Parque Nacional,Coquimbo,-30.6511829,-71.6720165,9000,False,baños|estacionamiento|senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-bosque-fray-jorge/,parque-nacional-bosque-fray-jorge,abierto de Jueves a Domingo de 09:00 a 17:00,bosque-fray-jorge,https://www.pasesparques.cl/es/parks/bosque-fray-jorge,True
Cabo de Hornos,Parque Nacional,Magallanes y Antártica Chilena,-55.855841,-67.8283764,,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-cabo-de-hornos/,parque-nacional-cabo-de-hornos,,,,False
Cerro Castillo,Parque Nacional,,-46.0765221,-71.9544892,,True,baños|duchas|agua_potable|senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-cerro-castillo/,parque-nacional-cerro-castillo,,,,False
Chiloé,Parque Nacional,Región de los Lagos Abierto,-42.4725607,-74.0966148,42567,False,baños|senderos|refugio,"Horario de Último Ingreso (Lunes a Jueves): 16:00 Horario de Último Ingreso (Viernes a Domingo): 15:30 El pase solo es valido para ingreso al sector El Chanquín Descarga tu mapa en el siguiente Link Este parque se distingue por sus bosques templados y paisajes costeros. Sus senderos atraviesan áreas de matorrales, bosques de alerces y playas vírgenes, ofreciendo una experiencia ideal para el ecoturismo. Aquí, es posible observar fauna como pudúes y carpintero negro, además de disfrutar de vistas panorámicas y una biodiversidad única que hace de Chiloé un destino especial para los amantes de la",https://www.conaf.cl/parque_nacionales/parque-nacional-chiloe/,parque-nacional-chiloe,abierto de Lunes a Domingo de 09:30 a 17:00,chiloe,https://www.pasesparques.cl/es/parks/chiloe,True
