nombre,tipo,region,lat,lon,superficie_ha,tiene_camping,servicios,descripcion,url_conaf,slug_conaf
Alerce Andino,Parque Nacional,,-41.5730373,-72.5143638,39255,False,senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-alerce-andino/,parque-nacional-alerce-andino
Alerce Costero,Parque Nacional,Los Ríos,-40.0379055,-73.3692312,,False,baños|estacionamiento|senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-alerce-costero/,parque-nacional-alerce-costero
Alerce Milenario,Parque Nacional,,,,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-alerce-milenario/,parque-nacional-alerce-milenario
Alto Bio Bio,Parque Nacional,,,,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-alto-bio-bio/,parque-nacional-alto-bio-bio
Archipiélago Juan Fernández,Parque Nacional,,-33.7691971,-80.7907713,,True,senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-archipielago-juan-fernandez/,parque-nacional-archipielago-juan-fernandez
Bernardo O'Higgins,Parque Nacional,Magallanes,-49.7505552,-74.501612,,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-bernardo-ohiggins/,parque-nacional-bernardo-ohiggins
Bosque Fray Jorge,Parque Nacional,Coquimbo,-30.6511829,-71.6720165,9000,False,baños|estacionamiento|senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-bosque-fray-jorge/,parque-nacional-bosque-fray-jorge
Cabo de Hornos,Parque Nacional,Magallanes y Antártica Chilena,-55.855841,-67.8283764,,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-cabo-de-hornos/,parque-nacional-cabo-de-hornos
Cerro Castillo,Parque Nacional,,-46.0765221,-71.9544892,,True,baños|duchas|agua_potable|senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-cerro-castillo/,parque-nacional-cerro-castillo
Chiloé,Parque Nacional,,-42.4725607,-74.0966148,42567,False,baños|senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-chiloe/,parque-nacional-chiloe
